"date","year","week","case.uk","death.uk","case.sa","death.sa","case.br","death.br","case.in","death.in"
2020-01-19,2020,4,0,0,0,0,0,0,0,0
2020-01-26,2020,5,0.0293224536865039,0,0,0,0,0,0.000721133020924302,0
2020-02-02,2020,6,0.161273495275772,0,0,0,0,0,0.0014422660418486,0
2020-02-09,2020,7,0.0733061342162598,0,0,0,0,0,0,0
2020-02-16,2020,8,0.0733061342162598,0,0,0,0,0,0,0
2020-02-23,2020,9,0.557126620043574,0,0,0,0.00934608102023241,0,0,0
2020-03-01,2020,10,5.38067025147347,0.0293224536865039,0.0166550098252899,0,0.0514034456112783,0,0.0223551236486534,0
2020-03-08,2020,11,32.2840215088408,0.395853124767803,0.616235363535728,0,0.644879590396036,0,0.0490370454228526,0.0014422660418486
2020-03-15,2020,12,92.7615822372551,3.26945358604519,3.36431198470857,0,4.0655452438011,0.0700956076517431,0.164418328770741,0.0014422660418486
2020-03-22,2020,13,262.172058411031,17.7694069340214,15.7722943045496,0.0166550098252899,13.472375790665,0.448611888971156,0.473784394747267,0.014422660418486
2020-03-29,2020,14,445.100185734286,55.85927427279,6.6286939104654,0.13324007860232,30.1691495333102,1.56079553037881,1.51077367883641,0.0447102472973068
2020-04-05,2020,15,471.974214537967,93.567949713634,7.37816935260345,0.266480157204639,48.4454109683747,3.1729945063689,3.86815752423796,0.145668870226709
2020-04-12,2020,16,469.848336645695,93.6999007552233,16.7549398842417,0.449685265282829,74.4462083666613,5.74783982744293,5.24696386024522,0.168023993875362
2020-04-19,2020,17,481.240109902902,81.8096457853459,22.1011980381598,0.566270334059858,105.919136202294,7.9581879887279,7.61588583398156,0.219224438360988
2020-04-26,2020,18,457.870114314759,63.600402046027,32.8936444049476,0.616235363535728,176.52877831015,12.6359015393542,9.67472060872044,0.359124244420303
2020-05-03,2020,19,334.759792511972,47.0625381668388,51.3640503011942,1.04926561899327,275.527141516962,18.2014927869026,16.6646629805397,0.561041490279107
2020-05-10,2020,20,290.02838941321,37.7966428019035,82.1924734878059,1.24912573689675,361.9269875085,23.3932407936417,20.0763433025326,0.555272426111713
2020-05-17,2020,21,237.893066758606,26.7567389889348,116.385208659126,2.43163143449233,532.198564575604,29.678480279748,29.4041989281884,0.718969621861529
2020-05-24,2020,22,157.520221203899,26.4928369057563,160.28781455859,3.93058231876843,705.825384728972,31.8748093195026,36.3479887866685,0.949732188557306
2020-05-31,2020,23,123.770077010733,17.3002476750373,249.925077438301,5.14639803601459,815.006303207327,33.1598954597846,46.7258140907902,1.2699152498477
2020-06-07,2020,24,103.786824823381,11.347789576677,329.152959177205,7.84450962771156,830.249761351326,31.729945063689,53.5801834546757,1.62182816405876
2020-06-14,2020,25,96.3682440406951,7.44790323637199,448.769239742438,7.56137446068164,1014.35353832837,33.9075819414032,64.5623182303319,2.92707893193174
2020-06-21,2020,26,75.3293835206286,6.48026226471737,651.527329355517,8.92708526635541,1149.97919305348,33.1505493787644,85.3879187416048,2.04873891244594
2020-06-28,2020,27,38.0018999777091,4.75023749721363,935.628486955313,10.2095210229027,1230.58446881247,33.6225264702861,104.063821717502,2.28815507539281
2020-07-05,2020,28,59.4219523957002,3.26945358604519,1269.22833375587,15.738984284899,1228.290005922,33.6645838348771,127.176856171147,2.45545793624725
2020-07-12,2020,29,74.9628528495473,2.16986157280129,1443.90607680351,16.2719445993083,1098.21125028241,34.1272148453786,164.60510222316,2.98765410568938
2020-07-19,2020,30,67.6615618816078,1.74468599434698,1387.71207365298,28.4301017717699,1493.75141818018,35.8749319961621,222.00368502363,3.78162156172704
2020-07-26,2020,31,77.1327144223485,1.45146145748194,1150.69462882928,24.9492047182843,1464.36266641205,33.2440101889667,263.277012343212,3.8248895429825
2020-08-02,2020,32,85.3430014545696,1.04094710587089,831.051680262318,34.2593552106214,1423.10439174824,32.3094020869434,290.102439588575,4.33761512085968
2020-08-09,2020,33,111.659903638207,1.29018796220617,507.394874327458,24.4328994137004,1423.80067478425,31.566388645835,315.093304428707,4.76019907112132
2020-08-16,2020,34,105.883380261966,0.908996064281621,389.593989833182,21.8180628711298,1239.59876395649,32.7953982999955,328.106870924306,4.85034069873686
2020-08-23,2020,35,119.503659999347,1.0995920132439,258.252582350946,16.5550797663382,1232.70602920406,28.0943195468186,358.974969884971,4.89793547811786
2020-08-30,2020,36,167.313920735191,0.74772256900585,238.716255825881,13.2906978405814,1293.71724610414,27.7625336706004,411.823203323409,5.14023617314843
2020-09-06,2020,37,308.032375976724,1.08493078640064,188.701261320535,10.7924463667879,900.434156772761,23.3979138341518,461.918150887957,5.74021884655745
2020-09-13,2020,38,369.228336820457,1.99392685068227,190.566622420968,8.54402004037374,993.26877954673,24.8699215948384,466.041589501602,5.88877224886785
2020-09-20,2020,39,570.600287512523,3.10818009076941,163.918606700504,7.26158428382642,886.71410983506,22.7763994463064,426.848009814367,5.58950204518427
2020-09-27,2020,40,743.910650026604,5.07278448776518,170.180890394813,9.36011552181295,882.466316011364,21.4071985768423,401.556432504509,5.249127259308
2020-10-04,2020,41,1624.85978735708,6.49492349156062,186.203009846742,12.2414322215881,821.539213840469,19.6781735880993,363.763293143909,4.72486355309603
2020-10-11,2020,42,1679.94201660718,12.0075447846234,187.119035387133,12.2414322215881,662.286666296219,16.248161853674,317.835773307282,4.10829482020575
2020-10-18,2020,43,2178.39440682406,17.0949904992318,201.775444033388,8.92708526635541,730.27005963739,15.0845747666551,267.006712327432,3.24726199322213
2020-10-25,2020,44,2311.34241183867,26.536820586286,186.636040102199,5.52946326199626,724.181087852708,13.9303337606564,230.236860723523,2.57949281584623
2020-11-01,2020,45,2342.58548624164,34.2046422253068,174.111472713581,8.54402004037374,551.213166411267,11.1452016166271,233.410567148611,2.89174341390645
2020-11-08,2020,46,2535.14603960091,42.1950108548791,221.111910440549,6.94513909714591,913.102769595686,15.8369342887838,221.261639145099,2.534061435528
2020-11-15,2020,47,2184.91865276931,41.9311087717006,270.26084443498,10.6425512783603,952.491828055456,15.5658979391971,202.802076075479,2.59030981116009
2020-11-22,2020,48,1638.96388758029,49.9068161744297,328.603343852971,9.89307583622223,1109.78169858546,16.6921007021351,214.257995245882,2.5016104495864
2020-11-29,2020,49,1477.83700457295,43.7491009002638,421.538298678089,10.4593461702821,1340.71868755489,19.0052557546426,181.22289155734,2.51386971094212
2020-12-06,2020,50,1832.43343700385,44.1596152518749,708.104397732027,17.3045552084763,1415.6976225397,21.0053170929723,153.462154783838,2.04585438036225
2020-12-13,2020,51,2540.24814654236,44.7020806450752,991.172944722655,23.8666290796405,1556.25333500298,24.4540209894381,125.617045446888,1.77254496543194
2020-12-20,2020,52,3691.49166195504,48.821885388029,1372.93907993795,33.0102294737247,1180.64835792137,20.7436268244058,112.948901668311,1.54683032988263
2020-12-27,2020,53,5040.29520908053,61.0640098021444,1565.2045133611,44.2023960763195,1171.05927879461,23.0380897148729,98.1570211431114,1.30741416693576
2021-01-03,2021,1,6122.82155427888,92.3364066588008,2086.6562159811,60.774130852483,1680.39265615422,32.2720177628625,91.092802070137,1.12785204472561
2021-01-10,2021,2,4984.11338781719,113.213993683592,1856.7504603528,67.0697245664426,1771.36740880516,31.1458149999245,77.6667474865683,0.919444601678486
2021-01-17,2021,3,3813.35577947615,128.124461383179,1318.74367796646,62.0066015795545,1687.87886705142,33.4075666068208,69.6239509041995,0.768006667284382
2021-01-24,2021,4,2618.92028978325,120.837831642083,739.432471213398,56.2439681800041,1685.66384584963,35.0478038258715,66.085351170524,0.674259374564223
2021-01-31,2021,5,1960.89510660442,95.605860244846,407.448160365893,37.1240169005713,1262.6088154283,28.4541436660976,57.8269358148989,0.520658041107346
2021-02-07,2021,6,1426.11219626996,70.6084684771014,272.525925771219,27.3308711233008,1694.39308552252,39.7114982549675,56.6644693851689,0.465851931517099
2021-02-14,2021,7,1151.91793184746,50.683861197122,204.923240890368,18.6369559944995,1539.27150578922,34.7907865978151,62.5301653773672,0.47594779381004
2021-02-21,2021,8,950.69259342383,34.3072708132096,164.185086857708,16.6716648351152,1766.80184822678,38.524545965398,75.7766578387257,0.540128632672302
2021-02-28,2021,9,627.852378335422,25.1293428093339,132.923633415639,11.7584369366547,1970.17257122703,47.2164013142141,82.2582014307933,0.508398779751633
2021-03-07,2021,10,593.442478934309,15.3209820511983,136.70432064598,10.226176032728,2339.89419030641,59.7074385977548,106.907249219007,0.613684200806581
2021-03-14,2021,11,549.077606506629,9.64708726285979,139.685567404707,13.673763066563,2387.46106965888,73.1330839833186,173.131057929548,0.827860708021099
2021-03-21,2021,12,555.792448400838,6.61221330630663,127.660650310847,9.42673556111411,2522.98859053327,83.1707749990482,268.617723496177,1.29587603860097
2021-03-28,2021,13,409.209502422005,3.70929039134275,117.167994120915,5.09643300653872,2164.71592070368,91.7925347402126,370.579442457685,2.21459950725853
2021-04-04,2021,14,160.599078840982,3.723951618186,100.363089207197,5.02981296723756,2296.37416403569,98.7927494243667,629.76258264111,3.35471081333985
2021-04-11,2021,15,262.333331906307,2.63902083178535,135.788295105589,7.57802947050692,2126.63064054623,95.0683361378041,1030.64187123897,5.67892253977888
2021-04-18,2021,16,252.642260962918,2.30181261439056,144.73203538177,6.89517406767004,1907.17998515067,83.2455436472101,1566.42279292812,10.9330977302333
2021-04-25,2021,17,225.19644431235,1.56875127222796,141.101243239856,4.68005776090647,1952.20940350615,79.1846714439191,1872.98797825138,16.7526412090925
2021-05-02,2021,18,213.467462837748,1.1582369206169,162.952616130637,4.68005776090647,1962.22840235983,69.530169750019,1974.9121982958,19.3299706258759
2021-05-09,2021,19,231.075596276494,1.05560833271414,308.400816934894,8.26088487334381,2059.19866598526,62.614069795047,1722.06276943515,20.1462932055622
2021-05-16,2021,20,169.996925247506,0.60111030057333,356.883550536313,9.80980078709578,2153.82773631511,63.053335602998,1331.25121894241,20.8998772124281
2021-05-23,2021,21,300.540489059822,0.865012383751865,441.341105360358,9.84311080674636,1982.1215358114,60.0438975144831,984.107157398726,19.2585784568044
2021-05-30,2021,22,450.451533532073,0.894334837438369,539.972073545725,9.42673556111411,2036.6278803214,53.6184668130733,659.50427182309,14.9901921059535
